"";"SBPS1";"SBPS2";"SBPS3";"SBPS4";"SBPS5";"SBPS6";"SBPS7";"SBPS8";"CEIII1E";"CEIII2C";"CEIII3E";"CEIII4C";"CEIII5E";"CEIII6C";"CEIII7E";"CEIII8C";"CEIII9E";"CEIII10C"
"110";1;1;1;1;2;2;1;2;7;1;3;5;5;2;6;3;7;6
"111";3;5;4;3;2;3;1;4;5;5;4;4;4;5;3;3;4;4
"112";1;2;2;4;2;2;2;5;7;5;7;5;6;5;6;7;7;6
"113";1;1;2;2;1;1;3;1;7;1;4;3;6;1;1;3;5;4
"114";1;2;2;1;1;1;1;1;3;1;4;4;7;2;4;3;2;3
"115";5;1;2;4;3;4;4;3;5;2;4;5;4;3;4;6;5;6
"116";2;1;5;1;3;2;2;3;5;5;6;5;5;5;6;6;7;6
"117";2;1;1;1;1;1;1;1;4;2;4;2;4;2;1;3;3;4
"118";1;1;1;1;2;1;1;1;5;4;4;6;7;3;6;5;6;5
"119";1;2;2;2;6;1;1;1;7;5;7;7;6;2;6;6;6;6
"120";1;3;3;2;2;2;1;1;6;3;5;5;6;6;5;4;4;5
"121";1;1;1;1;1;1;1;1;6;5;7;7;7;5;7;7;7;7
"122";1;3;1;1;1;2;1;1;6;2;5;3;7;4;4;6;3;7
"123";3;2;4;2;2;2;3;1;7;3;4;3;6;2;2;3;3;4
"124";4;6;6;7;7;5;7;2;7;3;6;7;7;6;7;6;7;5
"125";1;1;4;4;2;1;1;1;5;3;5;4;5;3;3;4;5;5
"126";2;2;4;2;2;2;1;2;7;5;6;5;6;5;6;5;5;5
"127";2;1;3;2;3;1;3;1;6;6;5;5;5;1;5;5;7;6
"128";5;4;2;5;4;5;5;1;7;1;3;3;6;1;3;5;4;6
"129";1;1;5;4;1;2;3;3;6;1;5;5;5;1;2;5;4;4
"130";1;1;1;1;1;1;1;1;7;1;7;7;7;1;7;1;7;7
"131";2;2;3;2;2;2;1;3;4;3;6;5;7;2;2;3;6;5
"132";1;2;2;1;2;1;1;1;5;4;5;5;7;5;5;6;6;4
"133";1;2;3;1;1;1;1;1;6;6;7;7;7;5;7;7;6;6
"134";1;2;4;3;2;2;1;2;5;1;3;4;5;3;5;5;5;5
"135";5;3;2;6;4;6;3;1;5;4;4;3;5;1;3;4;4;5
"136";2;2;3;2;2;2;2;2;7;4;7;6;6;4;5;6;6;4
"137";2;1;3;4;3;1;2;1;5;3;6;7;7;4;7;7;6;7
"138";1;1;2;4;1;3;4;1;7;5;5;6;7;1;7;5;6;6
"139";1;1;2;2;2;1;1;1;7;2;6;5;7;3;6;4;4;5
"140";2;1;4;1;3;2;2;1;7;5;7;7;7;5;7;7;7;7
"141";5;7;4;7;7;5;7;7;7;3;7;7;7;7;7;7;7;7
"142";1;1;6;1;1;1;1;1;6;5;7;5;7;2;7;4;7;5
"143";2;1;3;1;1;2;1;1;6;2;7;4;5;7;6;5;4;7
"144";2;4;2;1;2;3;4;2;6;4;6;4;5;3;5;6;6;4
"145";2;2;4;1;2;1;1;1;7;4;4;5;6;2;7;3;6;6
"146";4;5;5;7;5;4;3;7;5;3;6;5;6;6;5;7;5;6
"147";1;2;1;2;2;2;1;2;5;3;6;5;5;3;4;3;6;5
"148";7;1;1;1;7;1;1;1;5;6;3;4;7;5;7;5;7;7
"149";2;6;3;5;6;5;5;6;7;5;7;6;4;6;7;5;7;7
"150";3;1;5;2;3;2;4;1;3;2;3;4;4;2;3;4;3;3
"151";1;1;1;1;1;1;1;1;6;1;6;4;7;3;3;2;7;5
"152";1;2;1;5;1;1;1;1;1;2;3;2;3;1;4;2;5;2
"153";2;2;2;2;2;2;2;3;6;4;5;6;5;3;5;5;6;5
"154";5;4;1;2;2;4;4;1;4;2;5;4;3;4;4;2;2;3
"155";1;1;3;2;1;2;2;1;6;4;5;5;5;3;5;5;6;5
"156";2;2;4;1;2;3;2;1;6;1;6;5;7;2;4;6;5;6
"157";1;1;1;1;1;1;1;1;7;1;5;5;4;4;2;2;2;1
"158";3;2;2;5;4;2;3;2;5;4;6;5;6;5;5;6;5;6
"159";1;2;1;2;3;1;1;1;7;1;7;3;7;1;2;7;5;2
"160";2;2;2;3;2;2;2;3;5;4;5;4;4;4;6;7;5;5
"161";2;1;4;1;1;2;2;1;6;3;5;5;7;1;5;5;7;5
"162";1;2;7;5;4;2;4;1;7;4;4;5;5;1;5;3;5;4
"163";1;1;2;3;1;1;1;1;6;6;6;5;7;3;7;7;7;6
"164";3;3;1;6;2;4;4;3;5;4;7;6;5;4;5;6;6;7
"165";1;4;2;1;1;3;1;2;7;4;7;6;7;5;7;6;6;7
"166";3;5;4;3;3;5;3;2;3;5;7;5;7;3;6;7;5;7
"167";1;1;4;2;4;1;1;1;7;5;7;7;7;5;7;7;7;7
"168";2;2;2;2;2;3;2;3;5;4;5;4;6;4;6;5;4;4
"169";2;3;3;4;2;3;1;3;6;3;3;5;4;5;3;6;4;2
"170";2;2;2;4;2;1;1;3;7;6;7;7;7;5;7;7;7;7
"171";1;7;1;1;2;7;1;1;7;4;7;7;7;1;4;7;7;7
"172";2;2;4;3;2;2;1;1;7;4;6;4;6;5;4;4;5;4
"173";2;2;4;4;2;2;2;3;5;4;5;4;5;3;4;4;5;4
"174";2;5;4;1;1;2;1;1;6;6;6;5;6;1;3;4;6;6
"175";1;1;1;6;2;1;1;2;6;5;7;7;6;6;7;7;7;2
"176";2;2;4;2;2;2;2;3;7;3;5;6;7;3;5;6;6;6
"177";1;5;1;4;1;1;1;1;5;1;5;4;7;1;3;4;7;3
"178";1;1;1;2;1;1;1;1;5;2;4;4;5;1;5;4;6;6
"179";2;3;3;2;6;2;5;1;7;5;5;2;6;4;2;4;5;5
"180";3;2;3;2;4;4;2;2;4;2;3;4;5;1;5;4;5;5
"181";5;2;2;4;6;3;2;1;7;4;7;6;6;7;6;6;7;6
"182";1;7;2;1;7;1;6;1;4;3;6;4;6;2;2;3;4;5
"183";1;1;3;2;3;2;3;2;4;2;4;4;5;3;3;4;5;3
"184";1;1;1;1;1;1;2;1;5;1;4;3;5;1;5;4;7;3
"185";1;1;2;1;1;1;1;1;6;5;6;6;7;5;6;7;6;5
"186";2;3;3;2;4;5;2;6;5;5;5;7;5;4;6;5;7;6
"187";1;4;3;4;2;2;1;6;5;3;4;3;4;3;3;4;4;3
"188";1;2;3;2;3;2;1;3;6;4;4;4;6;5;5;7;6;4
"189";1;5;4;3;3;5;3;3;5;4;5;4;4;4;4;4;5;5
"190";6;6;3;7;6;6;7;4;5;2;6;5;6;6;4;4;6;3
"191";2;2;4;2;3;2;2;2;6;3;5;5;7;2;4;6;5;5
"192";1;1;3;1;3;2;2;1;6;2;7;5;6;2;4;4;6;6
"193";3;3;3;3;3;3;2;1;5;2;4;5;4;2;4;4;5;4
"194";1;5;4;1;2;2;1;1;7;1;6;5;7;3;5;5;5;6
"195";4;1;3;6;6;3;5;1;5;4;4;3;5;2;5;5;6;6
"196";3;4;5;3;4;2;2;3;3;4;4;4;5;5;3;3;5;6
"197";2;2;3;4;2;3;2;2;2;3;5;3;6;3;4;5;5;5
"198";1;1;2;2;2;2;2;1;6;5;6;5;6;1;6;6;7;2
"199";1;3;1;2;2;2;1;1;6;2;5;4;5;2;4;6;4;5
"200";1;1;1;2;3;1;2;1;7;7;6;7;7;6;7;7;6;7
"201";2;1;5;1;2;2;1;6;7;4;6;7;7;7;6;7;7;7
"202";1;2;3;6;1;3;1;2;7;2;4;7;4;5;5;5;6;4
"203";5;2;7;7;2;2;5;6;7;5;7;7;7;6;7;7;7;7
"204";1;1;2;2;1;1;1;1;7;7;7;7;7;2;7;7;7;7
"205";2;2;3;3;2;2;2;1;4;2;4;3;6;2;4;5;5;4
"206";1;1;3;1;1;1;1;1;5;4;4;4;7;4;5;4;5;3
"207";1;1;1;2;2;1;1;1;5;5;6;4;6;2;4;5;4;6
"208";1;2;3;2;2;1;4;1;6;5;3;2;6;1;2;6;5;4
"209";1;2;2;1;1;3;1;3;4;5;5;4;7;4;4;6;6;5
"210";4;2;2;5;2;5;4;2;7;6;6;7;7;6;7;7;7;7
"211";1;1;1;1;2;2;1;1;2;1;2;1;6;1;1;1;1;2
"212";3;1;2;2;4;1;1;5;7;2;6;7;6;3;7;6;7;7
"213";2;1;1;3;2;2;3;1;2;1;6;1;4;3;3;2;5;5
"214";1;2;4;3;3;2;2;1;4;4;4;4;5;4;3;5;4;5
"215";1;2;2;1;1;2;1;3;7;2;6;4;5;3;3;3;4;6
"216";1;3;6;7;3;1;1;6;7;7;7;7;7;7;7;7;7;7
"217";1;1;5;3;2;2;4;1;6;1;6;5;5;1;5;3;7;1
"218";1;1;1;1;1;1;1;1;6;6;5;6;7;5;6;6;6;6
"219";1;1;5;1;6;1;1;2;3;4;6;4;6;2;4;4;6;5
"220";4;5;3;4;2;5;3;2;5;5;4;6;5;5;6;6;6;6
"221";1;1;3;2;2;1;1;1;4;1;4;4;5;2;2;2;5;4
"222";1;2;2;2;2;2;2;1;4;2;3;5;6;2;5;5;5;5
"223";1;2;3;2;3;1;1;5;6;2;6;3;6;6;4;6;5;4
"224";1;4;5;6;1;1;1;1;6;3;5;5;7;4;4;6;5;4
"225";1;1;1;1;1;1;1;1;6;1;6;6;7;1;5;6;7;6
"226";1;1;1;2;2;1;1;1;7;4;7;7;7;6;6;6;7;5
"227";2;1;5;3;3;2;2;1;7;1;7;2;7;2;2;1;2;5
"228";1;1;5;2;2;1;1;1;6;4;6;4;6;3;4;4;5;5
"229";1;1;7;4;5;1;1;1;7;1;6;4;5;2;5;4;7;5
"230";3;2;5;5;2;2;2;1;5;2;4;2;3;4;2;7;4;7
"231";2;3;6;5;4;4;3;3;6;5;6;6;6;4;5;6;6;6
"232";2;5;6;7;3;5;4;5;7;3;6;6;7;6;7;7;7;3
"233";1;1;1;2;1;1;1;4;6;5;7;7;7;4;7;7;7;6
"234";1;3;7;3;3;3;1;1;7;1;5;4;7;1;4;5;4;7
"235";1;1;3;1;1;1;1;1;6;1;6;3;4;1;2;3;2;6
"236";1;1;1;1;2;2;2;1;5;3;5;4;5;1;3;3;5;6
"237";6;5;3;3;3;4;4;3;5;2;6;7;5;3;7;4;6;6
"238";1;1;1;1;3;1;2;1;7;4;7;7;7;5;6;7;7;5
"239";1;4;5;3;3;2;2;1;5;2;5;3;4;2;4;5;4;4
"240";4;4;3;4;3;4;2;4;6;3;6;6;5;4;5;7;6;4
"241";1;2;5;1;2;1;1;2;4;6;6;5;4;6;5;7;7;7
"242";6;4;3;6;4;5;5;5;5;4;5;4;4;5;4;5;4;4
"243";1;1;2;2;2;1;1;1;7;5;7;5;7;3;6;4;7;5
"244";1;1;1;1;1;1;1;1;6;5;5;6;6;3;4;5;5;6
"245";1;1;4;1;1;1;1;1;5;3;7;4;7;3;1;4;4;5
"246";2;3;2;7;2;3;2;5;7;4;7;7;6;1;6;5;7;6
"247";1;1;4;1;1;1;1;1;4;2;4;3;5;1;4;4;5;3
"248";1;1;2;2;2;1;1;2;7;3;6;6;7;5;5;6;7;7
"249";1;1;1;1;2;1;1;1;6;7;6;7;6;4;5;6;5;6
"250";1;5;4;1;2;1;1;1;7;3;7;6;7;1;6;7;7;2
"251";2;2;2;2;3;2;2;2;5;2;6;5;5;3;4;5;6;4
"252";1;1;6;1;3;1;1;1;7;3;5;2;7;5;2;4;3;7
"253";1;1;1;1;1;1;1;1;7;5;7;7;7;5;7;7;7;7
"254";2;2;3;4;3;2;2;2;4;4;3;5;5;3;5;4;5;5
"255";1;1;2;2;1;1;4;1;3;4;3;7;1;2;6;2;5;7
"256";1;1;1;1;1;1;1;1;1;1;1;7;7;1;1;1;1;7
"257";1;1;2;1;1;1;1;1;7;1;3;5;7;1;5;3;7;1
"258";1;1;1;1;1;1;1;1;4;2;5;4;7;3;3;6;6;7
"259";1;1;1;1;1;1;1;1;6;5;5;4;7;5;5;4;7;7
"260";1;1;1;2;1;2;1;2;6;3;5;4;6;6;6;3;6;4
"261";4;2;6;6;2;3;4;2;3;4;7;4;6;2;5;7;5;3
"262";3;3;4;3;3;5;5;4;6;5;5;7;5;3;5;4;7;5
"263";2;2;6;2;2;2;1;1;6;4;6;6;6;4;5;6;5;5
"264";2;2;5;4;4;2;1;7;7;7;6;6;6;5;5;7;5;6
"265";2;3;5;3;4;4;2;3;4;1;3;5;5;1;3;3;3;5
"266";3;6;6;2;4;3;2;1;6;2;5;5;6;3;5;5;7;3
"267";1;2;1;1;1;1;1;1;6;4;3;3;1;4;4;5;6;5
"268";3;2;5;3;2;2;2;3;6;5;7;5;7;6;6;6;5;7
"269";3;5;2;3;2;4;3;5;6;4;6;6;5;4;5;6;6;4
"270";1;1;4;1;1;1;1;1;6;3;4;6;7;1;3;4;4;7
"271";2;1;2;5;2;2;1;5;6;4;5;6;6;5;6;6;5;6
"272";1;1;1;2;1;1;2;4;5;6;4;4;5;1;7;5;7;5
"273";1;1;1;1;1;1;2;1;4;1;1;6;4;2;1;3;3;7
"274";2;1;2;1;2;2;1;2;5;6;5;5;6;4;5;6;5;5
"275";2;1;3;1;1;1;1;2;7;1;3;4;7;3;4;2;7;4
"276";1;1;5;2;1;2;1;7;7;2;6;7;7;4;7;6;7;5
"277";4;1;5;1;3;1;3;3;5;1;4;5;7;4;1;3;5;3
"278";1;2;2;7;7;7;7;6;7;5;7;6;7;4;6;7;6;6
"279";4;5;5;5;3;3;3;4;5;2;5;5;4;5;4;5;5;6
"280";1;1;2;3;2;1;2;1;6;1;5;2;6;1;5;1;7;2
"281";1;1;1;1;1;1;1;1;7;5;7;7;7;1;7;2;7;2
"282";7;1;3;4;6;1;1;1;6;3;5;6;7;2;7;5;6;7
"283";2;2;5;1;3;2;2;1;4;4;5;5;6;6;7;4;5;6
"284";1;1;1;1;1;1;1;1;6;4;7;6;7;1;7;6;7;5
"285";1;1;4;2;2;1;1;2;6;2;5;6;6;2;6;6;6;3
"286";4;1;5;4;3;1;4;5;6;5;4;5;6;5;5;7;6;7
"287";1;1;1;1;1;1;1;1;3;4;4;5;6;5;6;6;7;5
"288";1;1;1;2;1;1;3;1;7;3;7;4;7;3;4;7;6;7
"289";1;1;3;1;2;1;1;1;7;1;1;5;7;1;1;4;7;4
"290";1;1;2;5;1;1;1;1;5;4;5;5;7;2;4;5;5;6
"291";2;3;5;7;3;6;5;1;7;2;6;4;6;3;5;5;7;6
"292";2;3;3;3;2;2;2;2;6;4;5;4;6;5;5;6;6;4
"293";1;1;1;1;1;1;2;1;6;6;7;5;7;5;6;7;6;7
"294";2;1;3;4;2;1;2;2;6;4;6;3;7;5;6;4;7;7
"295";1;2;4;2;2;1;1;2;5;3;4;3;7;4;4;4;5;5
"296";4;2;4;1;4;3;4;1;4;1;3;2;2;1;1;2;2;3
"297";1;1;4;1;1;1;1;1;5;3;5;4;7;4;7;5;7;7
"298";1;1;4;2;2;2;1;1;4;3;6;4;6;4;3;5;5;6
"299";2;3;3;4;2;2;2;2;5;4;6;5;4;6;5;6;7;5
"300";4;3;4;2;3;2;1;1;5;4;5;4;5;5;5;5;4;6
"301";6;6;5;4;3;6;5;3;2;2;6;5;3;3;3;5;5;5
"302";1;1;1;1;1;1;1;1;7;6;6;5;7;5;7;7;7;7
"303";5;4;4;3;4;5;4;4;6;2;6;4;4;4;4;5;4;5
"304";3;2;3;3;1;1;5;1;7;2;6;5;6;5;4;7;6;6
"305";2;2;2;2;2;1;1;2;6;4;5;5;6;4;6;5;5;5
"306";2;1;3;4;6;2;2;2;6;5;6;6;5;6;6;6;6;4
"307";1;1;1;3;1;1;1;1;6;3;7;2;7;4;1;6;2;4
"308";2;2;3;5;2;6;2;5;7;5;6;5;7;6;6;6;6;6
"309";2;1;1;2;1;2;2;2;6;4;5;5;6;4;5;6;7;7
"310";4;2;1;5;2;1;5;3;7;5;7;6;6;6;6;7;6;5
"311";3;4;3;2;2;2;5;4;5;5;5;5;6;5;6;5;6;6
"312";3;3;5;2;2;3;5;2;5;1;4;3;4;1;5;5;2;3
"313";5;4;2;1;2;5;1;2;5;2;4;4;3;5;5;4;5;3
"314";3;1;2;2;2;1;3;1;3;4;3;6;5;6;5;4;6;5
"315";5;4;4;5;3;3;5;2;5;5;4;4;6;3;5;5;5;6
"316";1;1;3;1;2;3;1;1;5;3;5;4;4;3;4;4;5;4
"317";1;1;6;2;2;1;2;2;7;5;6;7;7;2;7;5;6;6
"318";1;3;3;2;3;2;1;2;4;2;5;3;5;3;3;3;3;4
"319";1;1;4;2;1;1;1;1;6;1;4;5;6;2;4;4;7;5
"320";2;3;5;3;4;1;2;2;6;5;6;5;5;2;5;5;6;6
"321";4;2;6;4;3;2;3;2;4;5;4;4;5;2;3;4;4;6
"322";2;1;3;2;1;1;1;2;6;1;7;5;6;2;3;6;6;4
"323";2;2;2;1;1;1;4;1;6;3;6;6;5;3;5;6;5;5
"324";3;2;5;5;5;4;2;2;6;4;6;6;6;6;5;6;7;7
"325";1;1;4;1;3;1;1;1;7;1;6;2;6;1;5;2;6;2
"326";7;5;7;4;2;4;4;3;7;3;5;5;7;4;6;6;7;6
"327";3;4;5;2;3;3;3;2;3;4;4;4;5;5;5;6;3;5
"328";1;1;4;2;1;1;1;1;5;2;5;4;6;7;2;3;5;2
"329";7;4;6;6;5;5;7;2;5;2;5;5;6;3;3;7;5;4
"330";1;4;4;5;1;1;2;1;5;2;5;5;4;5;3;6;3;7
"331";4;4;5;5;3;4;4;5;5;4;4;5;5;2;5;6;4;6
"332";2;1;3;1;3;2;2;1;5;3;5;5;2;6;3;4;1;3
"333";3;3;5;1;2;3;3;1;5;3;3;4;5;3;5;4;4;6
"334";5;3;4;3;1;5;1;2;5;3;4;4;7;3;5;6;7;5
"335";5;2;5;2;4;2;4;1;5;2;4;6;6;5;7;5;6;3
"336";2;4;4;1;6;2;3;2;2;1;2;3;3;3;2;1;2;2
"337";4;3;4;2;3;4;3;3;5;4;6;5;6;5;5;5;7;6
"338";1;2;7;2;6;4;1;4;7;1;7;5;7;5;3;4;4;5
"339";2;3;2;5;3;4;4;1;5;4;5;5;6;3;5;7;6;6
"340";3;2;5;5;2;3;4;2;5;5;4;6;5;4;5;5;6;5
"341";5;2;5;5;7;6;7;2;3;5;3;5;2;2;5;6;6;4
"342";2;2;6;4;3;3;3;3;6;3;4;7;4;5;6;5;6;4
"343";1;1;1;1;1;1;1;1;6;1;4;5;6;2;3;5;5;4
"344";1;1;4;1;1;1;2;1;5;2;6;7;5;5;2;4;5;4
"345";2;2;5;3;2;3;2;3;3;2;5;3;5;3;3;4;4;3
"346";7;5;4;4;2;6;4;3;7;1;6;5;2;1;1;7;7;7
"347";1;1;4;2;2;1;1;1;6;1;2;5;7;5;4;5;6;6
"348";4;3;5;4;4;3;5;1;4;1;1;3;2;1;3;2;5;1
"349";2;2;4;2;2;3;4;1;6;2;5;6;6;4;5;7;5;6
"350";2;2;2;3;5;2;1;1;5;1;2;1;2;1;1;1;5;1
"351";4;2;2;4;2;2;4;1;6;3;4;5;7;1;5;5;7;5
